modelo,model_short,is_slm,n_rows,n_parsed,n_correct,total_cost_usd,tasks_observed,accuracy_pct,cost_per_1k,cost_per_1k_plot,zero_cost
zai-org/GLM-5.1,GLM-5.1,False,3710,3666,3349,13.784361500000001,3666,91.35297326786689,3.7600549645390076,3.7600549645390076,False
google/gemma-4-31B-it,gemma-4-31B-it,False,3710,3710,3332,0.62024734,3710,89.81132075471699,0.16718257142857143,0.16718257142857143,False
deepseek-ai/DeepSeek-V4-Flash,DeepSeek-V4-Flash,False,3710,3710,3253,0.5377839600000001,3710,87.68194070080862,0.14495524528301887,0.14495524528301887,False
deepseek-ai/DeepSeek-V3.2,DeepSeek-V3.2,False,3710,3708,3234,0.95625784,3708,87.2168284789644,0.25789046386192016,0.25789046386192016,False
Qwen/Qwen3.5-4B,Qwen3.5-4B,True,3710,3703,3119,1.75835982,3703,84.22900351066703,0.4748473724007561,0.4748473724007561,False
meta-llama/Llama-3.3-70B-Instruct-Turbo,Llama-3.3-70B-Instruct-Turbo,False,3710,3710,2899,0.47160974,3710,78.14016172506739,0.12711852830188677,0.12711852830188677,False
google/gemma-3-27b-it,gemma-3-27b-it,False,3710,3709,2882,0.32764544,3709,77.70288487462929,0.08833794553788084,0.08833794553788084,False
google/gemma-3-12b-it,gemma-3-12b-it,True,3710,3710,2653,0.19286382000000002,3710,71.50943396226414,0.051984857142857145,0.051984857142857145,False
meta-llama/Meta-Llama-3.1-8B-Instruct,Meta-Llama-3.1-8B-Instruct,True,3710,3690,2205,0.09148304,3690,59.756097560975604,0.024792151761517615,0.024792151761517615,False
Qwen/Qwen3.5-2B,Qwen3.5-2B,True,3710,3670,2138,0.16685548,3670,58.25613079019074,0.04546470844686648,0.04546470844686648,False
google/gemma-3-4b-it,gemma-3-4b-it,True,3710,3700,2151,0.16975432,3700,58.13513513513513,0.04587954594594594,0.04587954594594594,False
Qwen/Qwen3.5-0.8B,Qwen3.5-0.8B,True,3710,3669,1599,0.08082314,3669,43.58135731807032,0.022028656309621152,0.022028656309621152,False
