modelo,short,is_slm,params_b,moe,acc_ENEM,acc_FUVEST,acc_UNICAMP,mean_acc
Qwen/Qwen3.5-4B,Qwen3.5-4B,True,4.0,False,84.01544401544402,84.07643312101911,85.56701030927834,84.55296248191382
google/gemma-3-12b-it,gemma-3-12b-it,True,12.0,False,72.13872832369943,66.34920634920636,74.84536082474227,71.11109849921603
google/gemma-3-4b-it,gemma-3-4b-it,True,4.0,False,59.14186316196366,52.62321144674086,59.917355371900825,57.22747666020178
meta-llama/Meta-Llama-3.1-8B-Instruct,Meta-Llama-3.1-8B-Instruct,True,8.0,False,62.248062015503876,53.588516746411486,54.45134575569358,56.762641505869645
Qwen/Qwen3.5-2B,Qwen3.5-2B,True,2.0,False,59.688715953307394,53.4621578099839,56.78496868475992,56.64528081601707
Qwen/Qwen3.5-0.8B,Qwen3.5-0.8B,True,0.8,True,44.68250876509544,38.87096774193548,43.77593360995851,42.44313670566314
zai-org/GLM-5.1,GLM-5.1,False,754.0,True,90.8700741318767,91.50641025641026,93.73695198329854,92.03781212386184
google/gemma-4-31B-it,gemma-4-31B-it,False,31.0,False,89.40269749518305,89.52380952380952,92.37113402061856,90.4325470132037
deepseek-ai/DeepSeek-V4-Flash,DeepSeek-V4-Flash,False,284.0,True,87.59152215799615,86.5079365079365,89.69072164948453,87.93006010513908
deepseek-ai/DeepSeek-V3.2,DeepSeek-V3.2,False,671.0,True,87.35055919784034,85.71428571428571,88.45360824742268,87.17281771984956
meta-llama/Llama-3.3-70B-Instruct-Turbo,Llama-3.3-70B-Instruct-Turbo,False,70.0,False,78.84393063583815,74.44444444444444,79.17525773195877,77.48787760408045
google/gemma-3-27b-it,gemma-3-27b-it,False,27.0,False,78.7201233616037,72.6984126984127,78.76288659793815,76.72714088598484
