model_short,image_augmented,text_only,gap (text - image)
GLM-5.1,83.70221327967808,95.41108986615679,11.70887658647871
gemma-4-31B-it,80.2734375,95.35327816677275,15.079840666772753
DeepSeek-V4-Flash,77.9296875,93.88924252068746,15.95955502068746
DeepSeek-V3.2,78.6692759295499,92.99809038828771,14.32881445873781
Qwen3.5-4B,76.10186092066601,89.16507329509241,13.0632123744264
Llama-3.3-70B-Instruct-Turbo,64.0625,88.47867600254615,24.416176002546152
gemma-3-27b-it,65.20039100684262,87.52387014640355,22.32347913956093
gemma-3-12b-it,57.91015625,81.41311266709103,23.502956417091028
Meta-Llama-3.1-8B-Instruct,46.74556213017752,72.2860791826309,25.54051705245338
Qwen3.5-2B,46.871896722939425,67.94625719769674,21.074360474757313
gemma-3-4b-it,47.45098039215686,66.75175494575623,19.300774553599375
Qwen3.5-0.8B,37.11442786069652,49.55185659411011,12.43742873341359
