model_short,Ciencias-Humanas,Ciencias-Natureza,Linguagens,Matematica
GLM-5.1,95.58441558441558,89.10034602076125,93.89312977099237,82.67857142857142
gemma-4-31B-it,95.46044098573282,88.14432989690721,94.04580152671755,77.51277683134583
DeepSeek-V4-Flash,94.29312581063553,87.62886597938144,92.21374045801527,73.59454855195912
DeepSeek-V3.2,93.77431906614785,87.11340206185567,89.77099236641222,76.41025641025641
Qwen3.5-4B,90.9090909090909,84.70790378006873,85.0381679389313,73.07032590051458
Llama-3.3-70B-Instruct-Turbo,91.82879377431907,79.72508591065292,85.80152671755725,53.15161839863713
gemma-3-27b-it,88.84565499351491,76.80412371134021,84.58015267175573,60.75085324232082
gemma-3-12b-it,84.95460440985732,68.21305841924399,78.93129770992367,51.618398637137986
Meta-Llama-3.1-8B-Instruct,77.92207792207793,57.858376511226254,71.90839694656489,34.72222222222222
Qwen3.5-2B,72.63294422827497,57.24137931034483,65.64885496183206,37.5886524822695
gemma-3-4b-it,71.59533073929961,54.56110154905336,67.93893129770993,37.24137931034483
Qwen3.5-0.8B,54.02597402597402,40.90121317157712,51.22699386503068,28.345070422535212
